Número do Processo,Aviso,Titulo,Tag,Classe,Assunto,Foro,Vara,Magistrado,Data de Distribuição,Controle,Área,Valor da Causa,2 Grau - Titulo,2 Grau - Tag,2 Grau - Classe,2 Grau - Assunto,2 Grau - Foro,2 Grau - Vara,2 Grau - Magistrado,2 Grau - Data de Distribuição,2 Grau - Controle,2 Grau - Área,2 Grau - Valor da Causa
1001290-10.2018.8.26.0614,,,,Procedimento do Juizado Especial Cível,Planos de Saúde,Foro de Tambaú,Juizado Especial Cível e Criminal,ÉNDERSON DANILO SANTOS DE VASCONCELOS,09/11/2018 às 11:29 - Livre,2018/000446,Cível,"5.000,00",,,,,,,,,,,
1001295-32.2018.8.26.0614,,,,Procedimento do Juizado Especial Cível,Planos de Saúde,Foro de Tambaú,Juizado Especial Cível e Criminal,ÉNDERSON DANILO SANTOS DE VASCONCELOS,09/11/2018 às 11:31 - Livre,2018/000450,Cível,"5.000,00",,,,,,,,,,,
1022500-82.2020.8.26.0506,,,,Execução de Título Extrajudicial,Locação de Imóvel,Foro de Ribeirão Preto,1ª Vara Cível,Francisco Camara Marques Pereira,21/07/2020 às 16:17 - Livre,2020/001360,Cível,"5.782,83",,,,,,,,,,,
1505661-48.2020.8.26.0562,,,,Execução Fiscal,IPTU/ Imposto Predial e Territorial Urbano,Foro de Santos,2ª Vara da Fazenda Pública,Sheyla Romano Dos Santos Moura,30/07/2020 às 16:05 - Livre,2020/001558,Cível,"5.056,85",2019241-91.2021.8.26.0000                    ,Arquivado administrativamente,Agravo de Instrumento,DIREITO TRIBUTÁRIO - Impostos - IPTU/ Imposto Predial e Territorial Urbano,Direito Público,18ª Câmara de Direito Público,ROBERTO MARTINS DE SOUZA,,,Cível,"5.056,85"
1016453-07.2020.8.26.0114,,,,Execução de Título Extrajudicial,Espécies de Contratos,Foro de Campinas,3ª Vara Cível,EDUARDO BIGOLIN,18/05/2020 às 17:45 - Livre,2020/000931,Cível,"18.756,46",,,,,,,,,,,
1502935-46.2019.8.26.0624,,,,Execução Fiscal,Dívida Ativa,Foro de Tatuí,SAF - Serviço de Anexo Fiscal,,07/11/2019 às 10:26 - Livre,2019/001198,Cível,"1.504,46",,,,,,,,,,,
0002087-43.2021.8.26.0114,,Cumprimento Provisório de Sentença (0002087-43.2021.8.26.0114)                                                    ,,,Rescisão / Resolução,Foro de Campinas,6ª Vara Cível,,24/11/2020 às 17:23,2015/001738,Cível,,,,,,,,,,,,
1024842-50.2020.8.26.0576,,,,Execução de Título Extrajudicial,Nota Promissória,Foro de São José do Rio Preto,2ª Vara Cível,JOSE ROBERTO LOPES FERNANDES,23/06/2020 às 15:39 - Livre,2020/001164,Cível,"203.483,24",,,,,,,,,,,
1040316-88.2014.8.26.0053,,,,Procedimento Comum Cível,Anulação de Débito Fiscal,Foro Central - Fazenda Pública/Acidentes,12ª Vara de Fazenda Pública,Adriano Marcos Laroca,25/09/2014 às 16:39 - Livre,2014/001888,Cível,"1.297.910,68",1040316-88.2014.8.26.0053                    ,,Apelação Cível,DIREITO TRIBUTÁRIO - Impostos - ICMS/ Imposto sobre Circulação de Mercadorias,Direito Público,11ª Câmara de Direito Público,JARBAS GOMES,,,Cível,"1.297.910,68"
0001975-53.2020.8.26.0100,,Cumprimento de sentença (0001975-53.2020.8.26.0100)                                                    ,Extinto,,Locação de Imóvel,Foro Central Cível,8ª Vara Cível,,14/01/2020 às 14:50,2019/000316,Cível,,,,,,,,,,,,
1002332-82.2016.8.26.0576,,,,Execução de Título Extrajudicial,Contratos Bancários,Foro de São José do Rio Preto,5ª Vara Cível,LINCOLN AUGUSTO CASCONI,22/01/2016 às 12:25 - Livre,2016/000202,Cível,"120.046,47",,,,,,,,,,,
1002342-20.2020.8.26.0663,,,,Execução de Título Extrajudicial,Despesas Condominiais,Foro de Votorantim,2ª Vara Cível,GRAZIELA GOMES DOS SANTOS BIAZZIM,23/07/2020 às 02:16 - Livre,2020/001081,Cível,"1.422.962,50",2111071-07.2022.8.26.0000                    ,,Agravo de Instrumento,DIREITO CIVIL-Coisas-Propriedade-Condomínio em Edifício-Despesas Condominiais,Direito Privado 3,30ª Câmara de Direito Privado,MARIA LÚCIA PIZZOTTI,,,Cível,"1.422.962,00"
1000412-53.2020.8.26.0311,,,,,,,,,,,,,,,,,,,,,,,
1512443-66.2019.8.26.0090,,,,Execução Fiscal,ISS/ Imposto sobre Serviços,Foro das Execuções Fiscais Municipais,Vara das Execuções Fiscais Municipais,Laurence Mattos,28/03/2019 às 18:13 - Livre,2019/014542,Cível,"251.084,92",,,,,,,,,,,
1514702-34.2019.8.26.0090,,,,Execução Fiscal,Multas e demais Sanções,Foro das Execuções Fiscais Municipais,Vara das Execuções Fiscais Municipais,Felipe de Melo Franco,29/03/2019 às 01:31 - Livre,2019/016801,Cível,"5.563.523,17",,,,,,,,,,,
